subject;predicate;behaviors
0;text;look
0;neon;look
0;yellow;look
0;bright;look
0;paper;grasp,look
0;crayon;look
0;rough;grasp,look
0;pencil-shaped;look
0;cup;look
0;transparent;look
0;half-full;lift,lower,push
0;black;look
0;orange;look
0;rectangle;grasp,look
0;brown;look
0;coffee;look
0;fat;grasp,look
0;chips;hold,press
0;silver;look
0;rattles;lift,lower
0;gray;look
0;aluminum;grasp,look
0;large;grasp,look
0;small;grasp,look
0;soft;grasp
0;round;drop,grasp,look,push
0;heavy;drop,hold,lift,lower,push
0;squishy;grasp,press
0;orange-topped;look
0;blue;look
0;container;lift,look,lower,push
0;purple;look
0;tube;grasp,look
0;red;look
0;can;look
0;full;hold,lift,lower,push
0;water;hold,lift,lower,push
0;cylindrical;grasp,look
0;tub;look
0;colored;look
0;thing;drop,grasp,hold,lift,look,lower,press,push
0;beans;lift,lower,push
0;narrow;grasp,look
0;shiny;look
0;hollow;drop,hold,push
0;open;look
0;spraycan;look
0;silent;drop,lift,lower,push
0;top;look
0;spiky;grasp,look
0;tiny;grasp,hold,look
0;plastic;grasp,look,press
0;white;look
0;empty;hold,lift,look,lower,push
0;wide;grasp,look
0;inside;look
0;cap;look
0;rectangular;grasp,look
0;thin;grasp,look
0;cylinder;grasp,look
0;lid;look
0;metallic;drop,grasp,look,press
0;prism;look
0;green;look
0;roll;grasp,look
0;circular;grasp,look
0;circles;look
0;pink;look
0;canister;look
0;styrofoam;grasp,hold,look,press,push
0;medium-sized;grasp,hold,look
0;tall;look
0;short;look
0;liquid;drop,lift,look,lower,push
0;light;look
0;clear;look
0;metal;drop,grasp,look,press
0;object;drop,grasp,hold,lift,look,lower,press,push
0;aerosol;look,press
0;bottle;look
0;pineapple;grasp,look,press
1;text;look
1;neon;look
1;yellow;look
1;bright;look
1;paper;grasp,lift,look,lower
1;crayon;grasp,hold,look
1;rough;grasp,look
1;pencil-shaped;look
1;cup;look,press
1;transparent;look
1;half-full;lift,look,push
1;black;look
1;orange;look
1;rectangle;look
