Item#,Word,Class,Known_proportion,AuditoryStrengthMean,GustatoryStrengthMean,HapticStrengthMean,OlfactoryStrengthMean,VisualStrengthMean,AuditoryStrengthSD,GustatoryStrengthSD,HapticStrengthSD,OlfactoryStrengthSD,VisualStrengthSD,DominantModality,ModalityExclusivity,MaxStrength
1,abrasive,Adjective,0.9047619048,1.6842105263,0.5789473684,3.6842105263,0.5789473684,2.8947368421,1.3355245153,0.9015905374,1.3355245153,0.9015905374,1.1002392084,Haptic,0.3296089385,3.6842105263
2,absorbent,Adjective,1,0.7142857143,0.4761904762,3.1428571429,0.4761904762,4.1428571429,1.0555973258,0.9807674352,1.5901482411,0.9807674352,1.1084094138,Visual,0.4095744681,4.1428571429
3,academy,Noun,1,1.4117647059,0.0588235294,0.4705882353,0.1176470588,2.7058823529,1.3256518929,0.242535625,1.0675700831,0.3321055821,1.571810496,Visual,0.5555555556,2.7058823529
4,account,Noun,1,1.7058823529,0.1176470588,0.3529411765,0.2352941176,1.4117647059,1.6494205756,0.3321055821,0.7018882096,0.5622957145,1.5024489812,Auditory,0.4153846154,1.7058823529
5,aching,Adjective,1,0.6666666667,0.0476190476,3.6666666667,0.0952380952,2.0476190476,1.1972189997,0.2182178902,1.7126976772,0.4364357805,1.4654757069,Haptic,0.5547445255,3.6666666667
6,acidic,Adjective,1,0.4761904762,4.1904761905,1.1428571429,2.9047619048,2.1904761905,0.8728715609,1.2497618821,1.7687768171,1.5781242633,1.7498299237,Gustatory,0.3406113537,4.1904761905
7,acrid,Adjective,0.380952381,0.375,3,0.625,3.5,1.125,1.0606601718,1.6903085095,1.4078859532,1.6903085095,1.5526475085,Olfactory,0.3623188406,3.5
8,addition,Noun,1,1.2941176471,0.4705882353,0.8823529412,0.6470588235,3.0588235294,1.2631659571,0.8744746322,1.0537049481,0.9963167462,1.3906198364,Visual,0.4074074074,3.0588235294
9,adhesive,Adjective,1,1.1904761905,0.9047619048,4.3333333333,1.7619047619,3.6666666667,1.6618979397,1.4108423691,0.9660917831,1.6094956323,1.3165611772,Haptic,0.2891566265,4.3333333333
10,administration,Noun,0.9411764706,1.75,0.0625,0.5,0.25,2.625,1.653279569,0.25,0.7302967433,0.5773502692,1.3601470509,Visual,0.4939759036,2.625
11,admission,Noun,0.9411764706,1.8125,0,0.875,0.4375,3.4375,2.0402205763,0,1.5864005379,1.0307764064,1.5478479684,Visual,0.5238095238,3.4375
12,advantage,Noun,1,1.7058823529,0.3529411765,0.5294117647,0.4705882353,3.1176470588,1.4476146709,0.6063390626,0.8744746322,0.8744746322,1.2187264327,Visual,0.4476190476,3.1176470588
